date,geo_value,hosps_7dav
2022-04-29,ne,2.2857143
2022-04-29,nh,4.4285714
2022-04-29,nj,18.8571429
2022-04-29,nm,7.4285714
2022-04-29,nv,7.4285714
2022-04-29,ny,40
2022-04-29,oh,15.2857143
2022-04-29,ok,6.8571429
2022-04-29,or,3.5714286
2022-04-29,pa,25.2857143
2022-04-29,pr,7.5714286
2022-04-29,ri,0.7142857
2022-04-29,sc,5.5714286
2022-04-29,sd,1.2857143
2022-04-29,tn,7
2022-04-29,tx,28.8571429
2022-04-29,ut,0.4285714
2022-04-29,va,9.4285714
2022-04-29,vi,0
2022-04-29,vt,0.8571429
2022-04-29,wa,6
2022-04-29,wi,9.1428571
2022-04-29,wv,5.4285714
2022-04-29,wy,0.7142857
2022-04-30,ak,0.4285714
2022-04-30,al,1.8571429
2022-04-30,ar,4.5714286
2022-04-30,as,0
2022-04-30,az,23.1428571
2022-04-30,ca,31.1428571
2022-04-30,co,24
2022-04-30,ct,8.1428571
2022-04-30,dc,0.5714286
2022-04-30,de,0.8571429
2022-04-30,fl,25.5714286
2022-04-30,ga,5.8571429
2022-04-30,hi,0.5714286
2022-04-30,ia,2.1428571
2022-04-30,id,2.1428571
2022-04-30,il,14.1428571
2022-04-30,in,10.4285714
2022-04-30,ks,2.8571429
2022-04-30,ky,12.7142857
2022-04-30,la,2.7142857
2022-04-30,ma,26
2022-04-30,md,8.1428571
2022-04-30,me,3.2857143
2022-04-30,mi,20
2022-04-30,mn,4.1428571
2022-04-30,mo,8.4285714
2022-04-30,ms,3.7142857
2022-04-30,mt,2.4285714
2022-04-30,nc,8.5714286
2022-04-30,nd,0.2857143
2022-04-30,ne,2
2022-04-30,nh,4.2857143
2022-04-30,nj,18.4285714
2022-04-30,nm,7.8571429
2022-04-30,nv,7.5714286
2022-04-30,ny,37.8571429
2022-04-30,oh,14.2857143
2022-04-30,ok,6.1428571
2022-04-30,or,2.8571429
2022-04-30,pa,24.1428571
2022-04-30,pr,6.5714286
2022-04-30,ri,0.7142857
2022-04-30,sc,5.7142857
2022-04-30,sd,1.1428571
2022-04-30,tn,6.5714286
2022-04-30,tx,27.2857143
2022-04-30,ut,0.4285714
2022-04-30,va,9.4285714
2022-04-30,vi,0
2022-04-30,vt,0.8571429
2022-04-30,wa,5.8571429
2022-04-30,wi,9.2857143
2022-04-30,wv,5.4285714
2022-04-30,wy,0.7142857
2022-05-01,ak,0.5714286
2022-05-01,al,2.2857143
2022-05-01,ar,4.4285714
2022-05-01,as,0
2022-05-01,az,23.8571429
2022-05-01,ca,31.7142857
2022-05-01,co,25
2022-05-01,ct,9.7142857
2022-05-01,dc,0.2857143
2022-05-01,de,0.7142857
2022-05-01,fl,24.8571429
2022-05-01,ga,4.7142857
2022-05-01,hi,0.5714286
2022-05-01,ia,2.1428571
2022-05-01,id,2.4285714
2022-05-01,il,12.7142857
2022-05-01,in,9.7142857
2022-05-01,ks,2.8571429
2022-05-01,ky,10.8571429
2022-05-01,la,2.8571429
2022-05-01,ma,27.1428571
2022-05-01,md,7.8571429
2022-05-01,me,2.5714286
2022-05-01,mi,17.5714286
2022-05-01,mn,4
2022-05-01,mo,9.1428571
2022-05-01,ms,3.5714286
2022-05-01,mt,2.2857143
2022-05-01,nc,9
2022-05-01,nd,0.2857143
2022-05-01,ne,2.2857143
2022-05-01,nh,4.4285714
2022-05-01,nj,17.8571429
2022-05-01,nm,8.2857143
2022-05-01,nv,6.1428571
2022-05-01,ny,36.5714286
2022-05-01,oh,14.4285714
2022-05-01,ok,6
2022-05-01,or,2
2022-05-01,pa,23.1428571
2022-05-01,pr,5.5714286
2022-05-01,ri,0.8571429
2022-05-01,sc,5.7142857
2022-05-01,sd,1.1428571
2022-05-01,tn,5.8571429
2022-05-01,tx,25.4285714
2022-05-01,ut,0.5714286
2022-05-01,va,10
2022-05-01,vi,0
2022-05-01,vt,1.1428571
2022-05-01,wa,6.1428571
2022-05-01,wi,9.1428571
2022-05-01,wv,4.8571429
2022-05-01,wy,0.7142857
2022-05-02,ak,0.4285714
